,Player,Draft_Year,Pick_Number,Weighted Griddy AV
725,Casey Hayward,2012,62,118
726,Jimmy Garoppolo,2014,62,278
727,James Bradberry,2016,62,256
728,JuJu Smith-Schuster,2017,62,170
729,Brian O'Neill,2018,62,256
730,Andy Isabella,2019,62,20
731,AJ Dillon,2020,62,154
732,Josh Myers,2021,62,114
733,Bryan Cook,2022,62,10
734,Marcus Gilbert,2011,63,4
735,Travis Kelce,2013,63,360
736,Jarvis Landry,2014,63,170
737,Frank Clark,2015,63,248
738,Adam Gotsis,2016,63,100
739,Dion Dawkins,2017,63,308
740,Carlton Davis,2018,63,146
741,Juan Thornhill,2019,63,124
742,Willie Gay Jr.,2020,63,124
743,Creed Humphrey,2021,63,202
744,James Cook,2022,63,50
745,Randall Cobb,2011,64,130
746,Dwayne Allen,2012,64,0
747,Justin Britt,2014,64,56
748,Jordan Richards,2015,64,18
749,Kevin Byard,2016,64,248
750,Taylor Moton,2017,64,214
751,Tyquan Lewis,2018,64,64
752,D.K. Metcalf,2019,64,282
753,Jeremy Chinn,2020,64,228
754,Nik Bonitto,2022,64,20
755,Frank Gore,2005,65,50
756,John Greco,2008,65,8
757,Terrell McClain,2011,65,4
758,Trumaine Johnson,2012,65,18
759,Larry Warford,2013,65,64
760,Carl Nassib,2016,65,72
761,Larry Ogunjobi,2017,65,214
762,Brandon Parker,2018,65,82
763,Zach Allen,2019,65,134
764,Logan Wilson,2020,65,156
765,Andre Cisco,2021,65,76
766,Luke Fortner,2022,65,80
767,Josh Robinson,2012,66,2
768,Morgan Moses,2014,66,208
769,Ahkello Witherspoon,2017,66,48
770,Lorenzo Carter,2018,66,186
771,Diontae Johnson,2019,66,214
772,Antonio Gibson,2020,66,160
773,Brian Asamoah,2022,66,10
774,Bennie Logan,2013,67,2
775,Billy Turner,2014,67,180
776,A.J. Cann,2015,67,126
777,Maliek Collins,2016,67,184
778,Alvin Kamara,2017,67,302
779,Chad Thomas,2018,67,20
780,Julian Okwara,2020,67,26
781,Davis Mills,2021,67,126
782,Joshua Ezeudu,2022,67,10
783,Kelvin Sheppard,2011,68,2
784,Will Redmond,2016,68,14
785,Dawuane Smoot,2017,68,94
786,Justin Reid,2018,68,136
787,Jachai Polite,2019,68,6
788,Ashtyn Davis,2020,68,46
789,Jalen Mayfield,2021,68,56
790,Martin Emerson,2022,68,20
791,Jason Witten,2003,69,16
792,Jared Veldheer,2010,69,10
793,Tyrann Mathieu,2013,69,254
794,Tyler Lockett,2015,69,294
795,Yannick Ngakoue,2016,69,196
796,Cooper Kupp,2017,69,314
797,B.J. Hill,2018,69,142
798,Josh Oliver,2019,69,18
799,Damien Lewis,2020,69,166
800,Joseph Ossai,2021,69,30
801,Nicholas Petit-Frere,2022,69,60
802,Michael Johnson,2009,70,12
803,Ed Dickson,2010,70,2
804,Justin Houston,2011,70,176
805,Bryan Anger,2012,70,78
806,Blidi Wreh-Wilson,2013,70,4
807,Bronson Kaufusi,2016,70,4
808,Pat Elflein,2017,70,100
809,Fred Warner,2018,70,398
810,Darrell Henderson,2019,70,106
811,Brandon Jones,2020,70,72
812,Brady Christensen,2021,70,94
813,Chad Muma,2022,70,20
814,Morgan Burnett,2010,71,14
815,Josh LeRibeus,2012,71,4
816,T.J. McDonald,2013,71,10
817,Christian Kirksey,2014,71,178
818,Hroniss Grasu,2015,71,18
819,Darian Thompson,2016,71,28
820,Dan Feeney,2017,71,128
821,Royce Freeman,2018,71,58
822,Dre'Mont Jones,2019,71,148
823,Justin Madubuike,2020,71,130
824,Aaron Robinson,2021,71,18
825,Velus Jones Jr.,2022,71,20
826,Olivier Vernon,2012,72,68
827,Brian Winters,2013,72,54
828,Jamon Brown,2015,72,30
829,Jonathan Bullard,2016,72,58
830,Taywan Taylor,2017,72,8
831,Nathan Shepherd,2018,72,50
832,Germaine Pratt,2019,72,216
833,Josh Jones,2020,72,110
834,Alim McNeill,2021,72,84
835,Abraham Lucas,2022,72,90
836,Jamaal Charles,2008,73,0
837,John Jerry,2010,73,8
838,Stevan Ridley,2011,73,2
839,Mike Glennon,2013,73,0
840,Preston Brown,2014,73,22
841,Tevin Coleman,2015,73,72
842,Kenyan Drake,2016,73,154
843,Jordan Willis,2017,73,20
844,Jerome Baker,2018,73,214
845,David Montgomery,2019,73,212
846,DaVon Hamilton,2020,73,110
847,Milton Williams,2021,73,16
848,Jelani Woods,2022,73,20
849,Jay Bromley,2014,74,0
850,KeiVarae Russell,2016,74,2
851,Chris Wormley,2017,74,104
852,Geron Christian,2018,74,60
853,Devin Singletary,2019,74,220
854,Zack Baun,2020,74,52
855,Benjamin St-Juste,2021,74,40
856,Desmond Ridder,2022,74,30
857,Russell Wilson,2012,75,376
858,Terron Armstead,2013,75,240
859,Shilique Calhoun,2016,75,14
860,Duke Riley,2017,75,80
861,Derrick Nnadi,2018,75,178
862,Jace Sternberger,2019,75,6
863,Jonah Jackson,2020,75,176
864,Osa Odighizuwa,2021,75,128
865,Christian Harris,2022,75,60
866,Brandon Brooks,2012,76,68
867,Keenan Allen,2013,76,260
868,Travis Swanson,2014,76,8
869,Chris Conley,2015,76,66
870,Alex Anzalone,2017,76,148
871,Mason Rudolph,2018,76,26
872,Terry McLaurin,2019,76,238
873,Paulson Adebo,2021,76,88
874,Travis Jones,2022,76,20
875,Jurrell Casey,2011,77,74
876,Demario Davis,2012,77,424
877,Duke Johnson,2015,77,70
878,Daryl Worley,2016,77,26
879,Daeshon Hall,2017,77,4
880,Sam Hubbard,2018,77,220
881,Chase Winovich,2019,77,48
882,Michael Ojemudia,2020,77,24
883,Josh Palmer,2021,77,84
884,Bernhard Raimann,2022,77,50
885,Brandon LaFell,2010,78,2
886,Marquise Goodwin,2013,78,78
887,Spencer Long,2014,78,14
888,P.J. Williams,2015,78,82
889,Joe Thuney,2016,78,286
890,Tim Williams,2017,78,2
891,Malik Jefferson,2018,78,12
892,Michael Deiter,2019,78,64
893,Matt Hennessy,2020,78,80
894,Alex Wright,2022,78,30
895,Terrence Brooks,2014,79,20
896,Eli Harold,2015,79,2
897,Isaac Seumalo,2016,79,142
898,Rasheem Green,2018,79,118
899,David Long,2019,79,46
900,Malcolm Koonce,2021,79,10
901,Alex Carter,2015,80,0
902,Tarell Basham,2017,80,76
903,Martinas Rankin,2018,80,24
904,Sione Takitaki,2019,80,106
905,Lynn Bowden Jr.,2020,80,12
906,Divine Deablo,2021,80,70
907,Greg Dulcich,2022,80,30
908,Josh McCown,2002,81,4
909,Richie Incognito,2005,81,26
910,Earl Mitchell,2010,81,10
911,Tyrone Crawford,2012,81,30
912,Damontre Moore,2013,81,6
913,Gabe Jackson,2014,81,204
914,John Miller,2015,81,90
915,Austin Hooper,2016,81,124
916,Fabian Moreau,2017,81,112
917,Michael Gallup,2018,81,158
918,Will Harris,2019,81,82
919,Bryan Edwards,2020,81,44
920,Cordale Flott,2022,81,20
921,Emmanuel Sanders,2010,82,136
922,John Jenkins,2013,82,32
923,Le'Raven Clark,2016,82,36
924,Tracy Walker,2018,82,62
925,Nate Davis,2019,82,160
926,Neville Gallimore,2020,82,60
927,Dyami Brown,2021,82,18
928,DeAngelo Malone,2022,82,10
929,Corey Peters,2010,83,122
930,Mohamed Sanu,2012,83,62
931,Logan Ryan,2013,83,146
932,Jordan Jenkins,2016,83,84
933,Derek Rivers,2017,83,22
934,Orlando Brown Jr.,2018,83,370
935,Justin Layne,2019,83,18
936,Lloyd Cushenberry III,2020,83,122
937,Tommy Tremble,2021,83,20
938,Nakobe Dean,2022,83,10
939,Mason Foster,2011,84,18
940,Shawn Williams,2013,84,30
941,Kareem Martin,2014,84,6
942,Jordan Hicks,2015,84,222
943,Kendall Fuller,2016,84,158
944,Chris Godwin,2017,84,250
945,Justin Jones,2018,84,168
946,Khalen Saunders,2019,84,28
947,Terrell Lewis,2020,84,42
948,Chauncey Golston,2021,84,26
949,DeMarvin Leal,2022,84,20
950,Brandon Mebane,2007,85,36
951,Colt McCoy,2010,85,52
952,Jordan Reed,2013,85,20
953,Tyler Kroft,2015,85,28
954,Rashaan Gaulden,2018,85,2
955,Jaylon Ferguson,2019,85,40
956,Julian Blackmon,2020,85,86
957,Amari Rodgers,2021,85,18
958,Marcus Jones,2022,85,100
959,Marshal Yanda,2007,86,86
960,Allen Bailey,2011,86,44
961,David Johnson,2015,86,98
962,Leonte Carroo,2016,86,2
963,Kareem Hunt,2017,86,170
964,Mark Andrews,2018,86,262
965,Zack Moss,2020,86,86
966,Phillip Gaines,2014,87,14
967,Sammie Coates,2015,87,0
968,Nick Vigil,2016,87,106
969,Arden Key,2018,87,64
970,Damien Harris,2019,87,124
971,Anfernee Jennings,2020,87,48
972,Kendrick Green,2021,87,40
973,Andre Roberts,2010,88,14
974,Nick Foles,2012,88,52
975,Will Clarke,2014,88,0
976,Danielle Hunter,2015,88,206
977,Kyler Fackrell,2016,88,62
978,Oren Burks,2018,88,52
979,Cody Barton,2019,88,86
980,Jordan Elliott,2020,88,92
981,Trey Sermon,2021,88,8
982,Jared Cook,2009,89,112
983,Shareece Wright,2011,89,4
984,Akiem Hicks,2012,89,154
985,Sean Mannion,2015,89,8
986,Javon Hargrave,2016,89,242
987,D'Onta Foreman,2017,89,106
988,Joseph Noteboom,2018,89,76
989,Bobby Okereke,2019,89,176
990,Cameron Dantzler,2020,89,78
991,Nico Collins,2021,89,64
992,Terrel Bernard,2022,89,20
993,Matt Schaub,2004,90,8
994,Kayvon Webster,2013,90,2
995,Donte Moncrief,2014,90,8
996,Carl Davis,2015,90,60
997,C.J. Prosise,2016,90,4
998,Shaquill Griffin,2017,90,126
999,Deadrin Senat,2018,90,20
1000,Connor McGovern,2019,90,118
1001,Jonathan Greenard,2020,90,76
1002,Patrick Jones II,2021,90,18
1003,Dylan Parham,2022,90,70
1004,Frostee Rucker,2006,91,10
1005,Duron Harmon,2013,91,142
1006,John Brown,2014,91,72
1007,Chaz Green,2015,91,14
1008,Jacoby Brissett,2016,91,156
1009,John Johnson,2017,91,158
1010,Tre'Quan Smith,2018,91,86
1011,Trey Pipkins,2019,91,126
1012,Anthony Schwartz,2021,91,18
1013,Rachaad White,2022,91,40
1014,Shawn Lauvao,2010,92,4
1015,Joe Barksdale,2011,92,4
1016,T.Y. Hilton,2012,92,116
1017,Trai Turner,2014,92,168
1018,Jeff Heuerman,2015,92,8
1019,Brandon Williams,2016,92,2
1020,Jourdan Lewis,2017,92,104
1021,Chukwuma Okorafor,2018,92,178
1022,Chuma Edoga,2019,92,34
1023,Devin Duvernay,2020,92,100
1024,Monty Rice,2021,92,46
1025,Chris Conte,2011,93,2
1026,Brandon Linder,2014,93,76
1027,Henry Anderson,2015,93,64
1028,Cody Kessler,2016,93,4
1029,Montravius Adams,2017,93,82
1030,Ronnie Harrison,2018,93,102
1031,Miles Boykin,2019,93,30
1032,Darrynton Evans,2020,93,16
1033,Spencer Brown,2021,93,138
1034,Tyrion Davis-Price,2022,93,10
1035,Brandon Williams,2013,94,144
1036,Ty Montgomery,2015,94,24
1037,Nick Vannett,2016,94,10
1038,Cameron Sutton,2017,94,122
1039,Alex Cappa,2018,94,230
1040,Jamel Dean,2019,94,118
1041,Josiah Deguara,2020,94,26
1042,Ben Cleveland,2021,94,26
1043,Jimmy Graham,2010,95,58
1044,Tony Bergstrom,2012,95,20
1045,Michael Schofield,2014,95,148
1046,Graham Glasgow,2016,95,132
1047,Lano Hill,2017,95,12
1048,Tarvarius Moore,2018,95,44
1049,Oshane Ximines,2019,95,50
1050,McTelvin Agim,2020,95,14
1051,Robert Hainsey,2021,95,68
1052,Zachary Carter,2022,95,50
1053,Jerick McKinnon,2014,96,102
1054,Kenny Golladay,2017,96,112
1055,Harrison Phillips,2018,96,134
1056,Dawson Knox,2019,96,128
1057,Lucas Niang,2020,96,58
1058,Nick Cross,2022,96,20
1059,Lamar Miller,2012,97,16
1060,Mason Cole,2018,97,146
1061,Bobby Evans,2019,97,44
1062,Jacob Phillips,2020,97,40
1063,Tre' McKitty,2021,97,10
1064,Kerby Joseph,2022,97,50
1065,Matt Barkley,2013,98,12
1066,Richard Rodgers,2014,98,18
1067,Steven Nelson,2015,98,160
1068,Justin Simmons,2016,98,302
1069,Chad Williams,2017,98,2
1070,Jordan Akins,2018,98,94
1071,Quincy Williams,2019,98,122
1072,Malik Harrison,2020,98,88
1073,Quinn Meinerz,2021,98,72
1074,Brian Robinson Jr.,2022,98,30
1075,Dustin Colquitt,2005,99,26
1076,K.J. Wright,2011,99,110
1077,Ben Jones,2012,99,208
1078,Joe Schobert,2016,99,150
1079,Rasul Douglas,2017,99,114
1080,Isaac Yiadom,2018,99,42
1081,Mike Edwards,2019,99,108
1082,Matt Peart,2020,99,32
1083,David Bell,2022,99,20
1084,Everson Griffen,2010,100,88
1085,Da'Norris Searcy,2011,100,2
1086,Travis Benjamin,2012,100,4
1087,Akeem Spence,2013,100,26
1088,Angelo Blackson,2015,100,114
1089,Jonnu Smith,2017,100,94
1090,Dorian O'Daniel,2018,100,22
1091,Will Grier,2019,100,4
1092,Tanner Muse,2020,100,10
1093,Elijah Molden,2021,100,24
1094,Myjai Sanders,2022,100,20
1095,Clint Boling,2011,101,16
1096,Jaylen Watkins,2014,101,8
1097,Trey Flowers,2015,101,82
1098,Ian Thomas,2018,101,30
1099,Yodny Cajuste,2019,101,36
1100,Ifeatu Melifonwu,2021,101,18
1101,Kirk Cousins,2012,102,398
1102,Bashaud Breeland,2014,102,94
1103,Daryl Williams,2015,102,156
1104,Nazair Jones,2017,102,2
1105,Jalyn Holmes,2018,102,34
1106,Alexander Mattison,2019,102,100
1107,Alex Highsmith,2020,102,160
1108,Ambry Thomas,2021,102,16
1109,Sam Acho,2011,103,4
1110,Alex Okafor,2013,103,44
1111,Devonta Freeman,2014,103,72
1112,Sheldon Day,2016,103,18
1113,Trey Hendrickson,2017,103,272
1114,Keke Coutee,2018,103,30
1115,Davion Taylor,2020,103,22
1116,Ernest Jones,2021,103,82
1117,Leo Chenal,2022,103,40
1118,Luke Stocker,2011,104,8
1119,Tavon Young,2016,104,42
1120,C.J. Beathard,2017,104,18
1121,Nyheim Hines,2018,104,158
1122,Ryan Finley,2019,104,10
1123,Terrell Burgess,2020,104,18
1124,Brandon Stephens,2021,104,60
1125,Nigel Bradham,2012,105,42
1126,Jamison Crowder,2015,105,90
1127,Parker Ehinger,2016,105,4
1128,James Conner,2017,105,198
1129,Antonio Callaway,2018,105,12
1130,C.J. Gardner-Johnson,2019,105,124
1131,Adam Trautman,2020,105,48
1132,Baron Browning,2021,105,100
1133,Bruce Ellington,2014,106,4
1134,Eric Murray,2016,106,80
1135,Josey Jewell,2018,106,158
1136,Maxx Crosby,2019,106,270
1137,Tyre Phillips,2020,106,70
1138,Cade Otton,2022,106,30
1139,Justin Ellis,2014,107,68
1140,Justin Hardy,2015,107,10
1141,Chris Moore,2016,107,60
1142,Chris Herndon,2018,107,20
1143,Anthony Nelson,2019,107,90
1144,Akeem Davis-Gaither,2020,107,40
1145,Michael Carter,2021,107,88
1146,Dameon Pierce,2022,107,60
1147,Cassius Marsh,2014,108,20
1148,Ryan Smith,2016,108,16
1149,Vince Biegel,2017,108,14
1150,Julian Love,2019,108,110
1151,Saahdiq Charles,2020,108,36
1152,Darren Hall,2021,108,38
1153,T.J. Lang,2009,109,6
1154,David Bakhtiari,2013,109,248
1155,Ross Cockrell,2014,109,38
1156,Clayton Geathers,2015,109,24
1157,B.J. Goodson,2016,109,68
1158,Jaleel Johnson,2017,109,76
1159,Troy Apke,2018,109,36
1160,Khari Willis,2019,109,74
1161,John Simpson,2020,109,82
1162,Coby Bryant,2022,109,20
1163,Maurice Alexander,2014,110,6
1164,T.J. Clemmings,2015,110,0
1165,Tyler Higbee,2016,110,154
1166,Dede Westbrook,2017,110,32
1167,Nick Nelson,2018,110,2
1168,Mitch Wishnowsky,2019,110,26
1169,Darnay Holmes,2020,110,44
1170,James Hudson,2021,110,36
1171,Daniel Faalele,2022,110,20
1172,Russell Bodine,2014,111,6
1173,Miles Killebrew,2016,111,38
1174,Tedric Thompson,2017,111,20
1175,Brian Allen,2018,111,116
1176,Kendall Sheffield,2019,111,30
1177,Solomon Kindley,2020,111,38
1178,Cameron Sample,2021,111,28
1179,Max Mitchell,2022,111,20
1180,Glover Quin,2009,112,12
1181,Bobby Massie,2012,112,106
1182,DaQuan Jones,2014,112,236
1183,Eddie Jackson,2017,112,180
1184,Mark Walton,2018,112,10
1185,Joshua Kelley,2020,112,56
1186,Amon-Ra St. Brown,2021,112,194
1187,Daniel Bellinger,2022,112,30
1188,Kyle Wilber,2012,113,6
1189,Nick Kwiatkoski,2016,113,76
1190,Rayshawn Jenkins,2017,113,158
1191,DaeSean Hamilton,2018,113,24
1192,Justice Hill,2019,113,38
1193,Troy Pride Jr.,2020,113,18
1194,Derrick Barnes,2021,113,44
1195,Percy Butler,2022,113,10
1196,B.W. Webb,2013,114,26
1197,Aaron Colvin,2014,114,8
1198,Jamil Douglas,2015,114,18
1199,Samaje Perine,2017,114,96
1200,Da'Shawn Hand,2018,114,20
1201,Dru Samia,2019,114,18
1202,Leki Fotu,2020,114,62
1203,Drew Dalman,2021,114,78
1204,Dane Belton,2022,114,30
1205,Coty Sensabaugh,2012,115,12
1206,Ibraheim Campbell,2015,115,4
1207,De'Vondre Campbell,2016,115,262
1208,Joel Iyiegbuniwe,2018,115,30
1209,Christian Miller,2019,115,4
1210,Harrison Bryant,2020,115,48
1211,Jabril Cox,2021,115,18
1212,Damarri Mathis,2022,115,40
1213,Zak DeOssie,2007,116,8
1214,Orson Charles,2012,116,0
1215,Earl Watford,2013,116,14
1216,Rodney Gunter,2015,116,30
1217,Hassan Ridgeway,2016,116,68
1218,Carl Lawson,2017,116,126
1219,Dorance Armstrong Jr.,2018,116,106
1220,Amani Hooker,2019,116,88
1221,Ben Bartch,2020,116,50
1222,Elerson Smith,2021,116,8
1223,Joe Looney,2012,117,52
1224,Blake Bell,2015,117,18
1225,Pharoh Cooper,2016,117,14
1226,Josh Reynolds,2017,117,126
1227,Jordan Whitehead,2018,117,170
1228,Austin Bryant,2019,117,40
1229,D.J. Wonnum,2020,117,88
1230,Bobby Brown,2021,117,18
1231,Micheal Clemons,2022,117,10
1232,Stephen Gostkowski,2006,118,18
1233,Jarius Wright,2012,118,16
1234,Martavis Bryant,2014,118,4
1235,Ramik Wilson,2015,118,6
1236,Juston Burris,2016,118,74
1237,Mack Hollins,2017,118,96
1238,Anthony Averett,2018,118,86
1239,Hjalte Froholdt,2019,118,30
1240,Albert Okwuegbunam,2020,118,40
1241,Chris Rumph,2021,118,18
1242,Akayleb Evans,2022,118,10
1243,Brandon Marshall,2006,119,2
1244,Anthony Hitchens,2014,119,124
1245,Andrew Donnal,2015,119,0
1246,Tyler Ervin,2016,119,12
1247,Tarik Cohen,2017,119,46
1248,Kyzir White,2018,119,148
1249,Sheldrick Redwine,2019,119,20
1250,Mykal Walker,2020,119,94
1251,Kene Nwangwu,2021,119,26
1252,Jalyn Armour-Davis,2022,119,10
1253,Geno Atkins,2010,120,58
1254,Gerald Hodges,2013,120,8
1255,Logan Thomas,2014,120,72
1256,David Onyemata,2016,120,216
1257,Ben Gedeon,2017,120,18
1258,Will Dissly,2018,120,68
1259,La'Mical Perine,2020,120,12
1260,Rhamondre Stevenson,2021,120,130
1261,Brandon Smith,2022,120,10
1262,Taron Johnson,2018,121,148
1263,Logan Stenberg,2020,121,30
1264,Jack Jones,2022,121,20
1265,J.C. Tretter,2013,122,144
1266,Za'Darius Smith,2015,122,234
1267,Andrew Billings,2016,122,86
1268,Kenny Young,2018,122,104
1269,Benny Snell Jr.,2019,122,40
1270,Domata Peko,2006,123,34
1271,Al Woods,2010,123,136
1272,Jerald Hawkins,2016,123,6
1273,Montae Nicholson,2017,123,26
1274,Durham Smythe,2018,123,46
1275,Ben Powers,2019,123,126
1276,Zech McPhearson,2021,123,18
1277,Kwon Alexander,2015,124,164
1278,Deon Bush,2016,124,38
1279,Jalen Reeves-Maybin,2017,124,72
1280,Armani Watts,2018,124,4
1281,Phil Haynes,2019,124,28
1282,Anthony McFarland Jr.,2020,124,6
1283,John Bates,2021,124,26
1284,Jermon Bushrod,2007,125,8
1285,Walt Aikens,2014,125,6
1286,Javorius Allen,2015,125,4
1287,Antonio Morrison,2016,125,8
1288,Samson Ebukam,2017,125,198
1289,Avonte Maddox,2018,125,84
1290,Renell Wren,2019,125,8
1291,Camryn Bynum,2021,125,76
1292,Bilal Powell,2011,126,10
1293,William Gholston,2013,126,152
1294,Mike Davis,2015,126,92
1295,Demarcus Robinson,2016,126,116
1296,Ito Smith,2018,126,22
1297,Riley Ridley,2019,126,4
1298,Charlie Heck,2020,126,66
1299,Chuba Hubbard,2021,126,80
1300,Neil Farrell,2022,126,10
1301,Pierre Desir,2014,127,60
1302,Damien Wilson,2015,127,158
1303,Deiondre' Hall,2016,127,2
1304,Michael Roberts,2017,127,2
1305,K'Von Wallace,2020,127,12
1306,Kylen Granson,2021,127,28
1307,Rhett Ellison,2012,128,8
1308,Tre Boston,2014,128,66
1309,Jon Feliciano,2015,128,140
1310,Evan Boehm,2016,128,22
1311,Kentavius Street,2018,128,48
1312,Tony Pollard,2019,128,210
1313,Gabriel Davis,2020,128,166
1314,Dan Moore,2021,128,136
1315,John Simon,2013,129,102
1316,Dontae Johnson,2014,129,28
1317,Derrick Kindred,2016,129,4
1318,David Sharpe,2017,129,14
1319,Will Richardson,2018,129,22
1320,Isaiah Johnson,2019,129,6
1321,Jake Ferguson,2022,129,20
1322,Darren Sproles,2005,130,8
1323,Kyle Juszczyk,2013,130,74
1324,James White,2014,130,72
1325,Alex Lewis,2016,130,44
1326,Julie'n Davenport,2017,130,56
1327,Josh Sweat,2018,130,172
1328,Drue Tranquill,2019,130,116
1329,James Lynch,2020,130,42
1330,Robert Rochell,2021,130,26
1331,Jordan Stout,2022,130,20
1332,Shaq Mason,2015,131,188
1333,Blake Martinez,2016,131,130
1334,Deatrich Wise Jr.,2017,131,202
1335,Kalen Ballage,2018,131,26
1336,Wes Martin,2019,131,34
1337,Rashard Lawrence,2020,131,50
1338,Hassan Haskins,2022,131,10
1339,Mike Daniels,2012,132,50
1340,Kevin Pierre-Louis,2014,132,58
1341,Ugo Amadi,2019,132,40
1342,Troy Dye,2020,132,38
1343,Tommy Togiai,2021,132,20
1344,Romeo Doubs,2022,132,40
1345,Levine Toilolo,2013,133,4
1346,Nevin Lawson,2014,133,52
1347,Max Garcia,2015,133,92
1348,Rashard Robinson,2016,133,8
1349,Ryan Switzer,2017,133,4
1350,Jarrett Stidham,2019,133,36
1351,Colby Parkinson,2020,133,30
1352,Jake Camarda,2022,133,40
1353,Kyle Williams,2006,134,24
1354,Brent Urban,2014,134,62
1355,Mark Glowinski,2015,134,206
1356,Kenneth Dixon,2016,134,4
1357,Jamaal Williams,2017,134,190
1358,Chase Edmonds,2018,134,138
1359,Greg Gaines,2019,134,114
1360,Jaylinn Hawkins,2020,134,82
1361,Spencer Burford,2022,134,70
1362,Dak Prescott,2016,135,346
1363,Joshua Dobbs,2017,135,10
1364,John Franklin-Myers,2018,135,150
1365,John Cominsky,2019,135,56
1366,Kevin Dotson,2020,135,106
1367,Rashad Weaver,2021,135,40
1368,Joshua Williams,2022,135,20
1369,Kendrick Lewis,2010,136,4
1370,Anthony Sherman,2011,136,2
1371,Devontae Booker,2016,136,74
1372,Sean Harlow,2017,136,44
1373,Marquis Haynes,2018,136,54
1374,Michael Jordan,2019,136,74
1375,Brycen Hopkins,2020,136,10
1376,Marco Wilson,2021,136,90
1377,Cordell Volson,2022,136,90
1378,Buster Skrine,2011,137,40
1379,Malik Jackson,2012,137,84
1380,Dakota Dozier,2014,137,56
1381,Grady Jarrett,2015,137,240
1382,Dean Lowry,2016,137,194
1383,Zach Banner,2017,137,10
1384,Dalton Schultz,2018,137,148
1385,Foster Moreau,2019,137,74
1386,Josiah Scott,2020,137,28
1387,Tre Brown,2021,137,8
1388,Bailey Zappe,2022,137,20
1389,Marcus Cannon,2011,138,70
1390,Tahir Whitehead,2012,138,66
1391,Seth Devalve,2016,138,6
1392,Ryan Glasgow,2017,138,4
1393,L'Jarius Sneed,2020,138,118
1394,Josh Ball,2021,138,10
1395,Jehu Chesson,2017,139,0
1396,R.J. McIntosh,2018,139,4
1397,Deionte Thompson,2019,139,16
1398,Amik Robertson,2020,139,38
1399,D'Ante Smith,2021,139,8
1400,Isaiah Likely,2022,139,40
1401,Brandon Carr,2008,140,34
1402,Najee Goode,2012,140,12
1403,Cameron Fleming,2014,140,134
1404,Tajae Sharpe,2016,140,34
1405,Wayne Gallman,2017,140,46
1406,Maurice Hurst Jr.,2018,140,32
1407,Ryquell Armstead,2019,140,8
1408,Shaquille Quarterman,2020,140,24
1409,Zach Tom,2022,140,30
1410,Oday Aboushi,2013,141,78
1411,Chad Hansen,2017,141,12
1412,Shaquem Griffin,2018,141,14
1413,Zach Gentry,2019,141,18
1414,John Reid,2020,141,14
1415,Kevin Huber,2009,142,64
1416,Brandon Marshall,2012,142,6
1417,Ryan Grant,2014,142,6
1418,Adrian Amos,2015,142,162
1419,Ronald Blair,2016,142,28
1420,Carlos Watkins,2017,142,122
1421,D.J. Reed,2018,142,128
1422,Ben Burr-Kirven,2019,142,10
1423,Royce Newman,2021,142,104
1424,Cobie Durant,2022,142,20
